city,state_id,state_name,county_name,lat,lng,population,density,zips
Ranchester,WY,Wyoming,Sheridan,44.9075,-107.1674,967,526.3,82839
Converse,IN,Indiana,Miami,40.5769,-85.8803,967,377.6,46919
Saegertown,PA,Pennsylvania,Crawford,41.7165,-80.1364,967,258.4,16433
Overbrook,KS,Kansas,Osage,38.7794,-95.5569,967,686.3,66524
West Wood,UT,Utah,Carbon,39.6051,-110.8424,967,350.6,84501
Flushing,OH,Ohio,Belmont,40.1481,-81.0647,967,608.5,43977
Randolph,UT,Utah,Rich,41.6655,-111.1846,966,290.3,84064
South Corning,NY,New York,Steuben,42.1262,-77.0356,966,604.8,14830
Dakota City,IA,Iowa,Humboldt,42.7229,-94.1977,966,510.9,50529 50548
Mannsville,OK,Oklahoma,Johnston,34.1854,-96.8981,966,122.9,73447 73401
Notasulga,AL,Alabama,Macon,32.5573,-85.6692,966,26.7,36866
Spaulding,IL,Illinois,Sangamon,39.8663,-89.5447,965,496.7,62561
Sabana,PR,Puerto Rico,Vega Baja,18.4643,-66.3517,965,1462.8,693
Minor,AL,Alabama,Jefferson,33.539,-86.9401,965,561.3,35224
Cottondale,FL,Florida,Jackson,30.7891,-85.3644,965,114,32431 32446
Gila Crossing,AZ,Arizona,Maricopa,33.2731,-112.1627,965,428.1,85339
Oshkosh,NE,Nebraska,Garden,41.408,-102.3452,965,554.5,69154
Ninilchik,AK,Alaska,Kenai Peninsula,60.0745,-151.3843,964,1.8,99568 99639
Wittenberg,WI,Wisconsin,Shawano,44.827,-89.1664,964,205.4,54499
Riceville,TN,Tennessee,McMinn,35.3895,-84.6989,964,171,37370
Baconton,GA,Georgia,Mitchell,31.3804,-84.1592,964,190.7,31716
Bude,MS,Mississippi,Franklin,31.463,-90.8509,964,261.2,39630
Glidden,IA,Iowa,Carroll,42.0577,-94.7266,964,336.2,51443
Galatia,IL,Illinois,Saline,37.8414,-88.6148,964,190.6,62935
Valley Springs,SD,South Dakota,Minnehaha,43.5824,-96.4656,963,377.6,57068
Middlesex,NC,North Carolina,Nash,35.7894,-78.2047,963,355.8,27557
Whitewater,KS,Kansas,Butler,37.9636,-97.146,963,905,67154
Clark Fork,ID,Idaho,Bonner,48.1472,-116.1768,963,377.5,83811
Angel Fire,NM,New Mexico,Colfax,36.3821,-105.2718,963,12.9,87710
Silver Lake,IN,Indiana,Kosciusko,41.0743,-85.8923,963,696.5,46982
Riverpoint,WA,Washington,King,47.4842,-121.7151,963,293.2,98045
Clifton,SC,South Carolina,Spartanburg,34.9846,-81.8222,962,346.3,29324 29307
Bloomingburg,NY,New York,Sullivan,41.5519,-74.4436,962,539.7,12721
Riceville,IA,Iowa,Howard,43.362,-92.5538,962,350.7,50466
North Webster,IN,Indiana,Kosciusko,41.3239,-85.6979,962,458.9,46555
Hillsboro,MS,Mississippi,Scott,32.4491,-89.4889,962,40.6,39074 39087
Crawford,NE,Nebraska,Dawes,42.6845,-103.416,962,316.4,69339
Marblehead,OH,Ohio,Ottawa,41.5236,-82.7285,962,117.2,43440
Sunnyside,GA,Georgia,Ware,31.2406,-82.3411,962,261.8,31501
Brady,WA,Washington,Grays Harbor,47.0064,-123.5321,962,60.8,98563
Bauxite,AR,Arkansas,Saline,34.5602,-92.4989,961,121.9,72011
Dublin,IN,Indiana,Wayne,39.8127,-85.2056,961,719.3,47335 47327
Courtland,MS,Mississippi,Panola,34.2411,-89.9433,961,336.3,38620
Louise,TX,Texas,Wharton,29.1118,-96.4123,961,55.5,77455
